full_text,tweet_url,label
Yang paling gelap dunianya bukan mereka yang melulu ribut politik tetapi mereka yang kecanduan judi dan atau narkoba sehingga senantiasa dirundung resah-gelisah untuk mendapatkan uang. Ini sungguh gelap sesak dan berkeringat.,https://x.com/denismalhotra/status/1090644551516082176,Negatif
Wow minggunya bandar judi liga inggris pesta ini mah,https://x.com/huraiza/status/1090749906678013952,Negatif
Ada akun @Ndon08Back yang berantas Konten porno terutama Pedopile. Yuk lah ikutan juga konten Judi Online juga perlu dibabat. Gua ikut dibagian Judi Online aja. Untuk #OpsPedo bantu report aja. Yang lain bisa gabung.,https://x.com/JackVardan/status/1090442355532943361,Negatif
Di ujung pertigaan TPU pd.kelapa sering ada sekumpulan bapak2 pada main judi plat nomer mobil. Dia lupa atau emang sengaja lupa kali ya bahwa disebelahnya adalah tempat peristirahatan terakhir yg nyata. Semoga cepet tobat dah ya..,https://x.com/rayyanichsan/status/1090485336247922688,Negatif
Seandainya di negara ini Judi itu legal mending buka bisnis itu aja selain lebih menguntungkan juga untuk pelatihan atlit bridge poker blackjack. Dan permainan cassino royal lainnya.,https://x.com/syahriparvaiz/status/1090456891862409217,Negatif
Maryani si yang cintanya dari 100-0. Kata judi.,https://x.com/yanimbrung/status/1090453247595167744,Negatif
orang kaya kalo main judi taruhannya aneh-aneh,https://x.com/gamaladnando/status/1090683879734730753,Negatif
Kajeung judi tadi ngasupkeun caceres ublag teh,https://x.com/Rangga_Lawez/status/1090729322128695296,Negatif
Gue dukung tadi pake duit judi,https://x.com/selcouthser/status/1090283768101855232,Negatif
bentar gue mau niat dlu biar menang judi ga bauk kek lu pada,https://x.com/vaneshaqiwa/status/1090235819346915329,Positif
Lu suka ngerokok ? | Ngga | Minum2? | Ngga | Kalo judi? | Nggak juga | Jd lu sukanya apa dong Jon? | Ngebohongin #cc mugenroofi kh16mb,https://x.com/roofiriyuzaki/status/1089984870875652104,Negatif
judi bangsat modal 500k,https://x.com/bpjsatria/status/1090585384973524993,Negatif
Caj parking motor rm1 dompet nipis penuh dgn duit besar. Minta tukar dgn orang takde yg sudi pula mungkin takut kena scam. Bila bayar kat mesin dapat balance duit syiling 50sen segenggam. Serupa menang mesin judi kahkahkah,https://x.com/abdlmalek_/status/1090582256203161602,Negatif
nuwun Gusti ga sido judi wektu ,https://x.com/oragondrong/status/1090517210617901056,Negatif
Ust Dr Muhammad Arifin Badri berkata Di dalamnya ada ghoror (ketidakjelasan) dan maisir (judi). https://t.co/TbYYAHFwyw,https://x.com/fathanjihad/status/1090164720403996672,Negatif
bala bgt anjir judi malem ini,https://x.com/bpjsatria/status/1090589780327292928,Negatif
Gw bingung sama temen gw. Katanya pengin nikah umur juga udah dewasa tapi sekali dapet gajian langsung di habisin buat beli minum buat judi kalau dia udah nggak punya duit baru dia ngeluh (sambat) baru nyesel. Tapi percumah anjeeng ngeluh doang tapi di ulangin terus,https://x.com/choconays/status/1090691007920783360,Negatif
kak coba ramal sy bakal menang judi ga kali ini @peramaljudi,https://x.com/vaneshaqiwa/status/1090236700633100288,Positif
Hari ni baru terperasan tangan kanan yg xde luka mcm ikan goreng kunyit tu dah muncul lebamÂ² mcm kena pukul dek suami mabuk kalah judi. (Ish.nauzubillah),https://x.com/_Ayu_ismail/status/1090254933838843907,Negatif
macam ni rupanya dyorang main judi,https://x.com/hafizzli_/status/1090368033753681920,Positif
Random nya laki gue : nonton the girl in the spider web lanjut dewa judi-film china tahun 1994 lanjut film Hritik Roshan. Pantesan dia ngawinin gue.,https://x.com/yunikofebby/status/1090255071357460484,Negatif
sekedar mengingatkan mas sebenernya judi itu haram lho...,https://x.com/allamawe/status/1090486791663058944,Negatif
bursa taruhan oscar di lingkungan kampus sudah dibuka. Oscar mah penting bagi kite ya bisa buat bisnis judi.,https://x.com/SemestAkungUti/status/1090468273571848192,Negatif
2beer! Pandangan kalian ttg seorang ayah yang tidak menafkahi keluarga tukang judi dan pekerjaan tidak jelas ? Lalu apa prinsip dan cara kalian agar terhindar dari jodoh yg seperti ini?,https://x.com/tubirfess/status/1090269630164160512,Negatif
https://t.co/euTUlGpIh5 Hadirkan CASHBACK 0 3% Referral 20% Agen Judi Poker + Domino 99 Terpercaya. SUDAH TERBUKTI klik https://t.co/MMHFPFRKUO,https://x.com/Juddico/status/1090747150605008897,Positif
Nonton the gambler gue yg jadi degdegan bgt liat tuh orang taruhan buat bayar utang -_- lagian itu maen judi udah kaya maen bekel apa ya gampang bgt enak bgt -_-,https://x.com/aidazulfaa/status/1090416286104862720,Negatif
Judi gak baek base /g,https://x.com/FromU_RP/status/1090572241073430530,Negatif
Suda mabuk minuman Ditambah mabuk judi,https://x.com/dhaniapuput/status/1090597816257339393,Negatif
Sp*rs pake menang lagi ,https://x.com/esonesia/status/1090731388330946560,Positif
Di meja judi : mau buang kartu aja mikirnya Kaya mikirin hutang negara. Di tempat lain : buang bayi aja kagak dipikir-pikir. Segampang itu kah? #realita #savechildren #pakepengamandong,https://x.com/pilgrimage666/status/1090284765557579776,Negatif
Asli memang judi bat pertanyaan gitu,https://x.com/RaymondBarus/status/1090265611488288773,Negatif
Cari situs judi terbaik dan terpercaya yuk cek https://t.co/MMHFPFRKUO #judionline #pokeronline #casinoonline #dominoonine,https://x.com/Juddico/status/1090679172354043904,Positif
Judi 29 Januari.,https://x.com/BSUZYcrs/status/1090205960155480067,Negatif
Wahai orang orang beriman Judi itu ... Nama orang ,https://x.com/myongjies/status/1090595682761596931,Negatif
Hihihihihihihihihihihihihihi .... Mo Muntah gw. Masak Urusan Negara Besar dg Rakyat 250jt dibandingkan dg Bocah yg Gakda Otaknya?. Oh ... Nadira Sayaaaaaaannggku. Duit Judi SDSB bapakmu masih Berbekas dalam darahmu rupanya. Makanya harus cari Duit Halal. Biar CERDAS @,https://x.com/KosmetikDinda/status/1090156714106675201,Negatif
Judi Pajar Pakong ma Togel Singapur eksis lagi sejak SBY lengser...,https://x.com/Bang_Denz04/status/1090464758988296194,Negatif
Pokoknya Pak Jokowi gak salah. PSSI yang sarang judi dan korupsi. Ya kan Kak @akmalmarhali? Mari kita doakan pemerintahan Pak Jokowi melibas habis tukang judi di PSSI dan tukang judi gaplek. https://t.co/rVym97VPra,https://x.com/almalikikky/status/1090145971734929408,Negatif
3 Cara Mudah Memenangkan Taruhan Poker PKV Games Link : https://t.co/oqXtFqcQkr #AgenPoker #pokeronline #poker_indonesia #domino_online #istanadomino #istana_domino #JudiOnline #BandarQOnline #judi_bandar66 #judi_dominoqq #agen_domino99,https://x.com/IstanaDomino/status/1090470879769706496,Positif
Permainan Poker Online Lebih Mudah Dimainkan Melalui Aplikasi Link : https://t.co/tPBktRcp2z #AgenPoker #pokeronline #poker_indonesia #domino_online #istanadomino #istana_domino #JudiOnline #BandarQOnline #judi_bandar66 #judi_dominoqq #agen_domino99,https://x.com/IstanaDomino/status/1090207652120911872,Positif
ih judi tuh mainnya gimana ,https://x.com/vantezk/status/1090579960014589952,Negatif
judi = jumblu ditinggal mati,https://x.com/vantezk/status/1090582103215861766,Negatif
Untuk Main Judi Online BPK Gadungan Tipu PNS di Kota Solok https://t.co/G0xDS0wpa1,https://x.com/KlikPositif/status/1090607847912677376,Positif
Demokrasi sama HUKUM tinggi mana? HUKUM dengan NORMA tinggi mana? Kamu jadi RT wargamu 90% doyan judi dan narkoba kamu mau lindungi warga atau sadarkan warga? Musyawarah menang yg pro judi dan narkoba... piye son?,https://x.com/TheArieAir/status/1090401160433815552,Negatif
Wap Top Agen Judi Ramalan Terpercaya Judi Togel HK4D Minggu Resmi https://t.co/BQh2RnlcPh,https://x.com/adupoker88/status/1090512766300012544,Positif
Pertandingan perdana di liga Inggris Higuain kurang mantap semoga gak bernasib seperti Lord Bendtner ,https://x.com/esonesia/status/1090735361918005248,Positif
Website HP Judi Agen Prediksi Terpercaya Judi Togel Singapura SG Senin Terbaik https://t.co/IBlRIZ6Wm5,https://x.com/adupoker88/status/1090491826052714496,Positif
